item_id,site,lead_0_x,lead_0_y,lead_0
250,F4,2,2,0
250,F5,1,1,0
250,F6,1,1,0
250,F7,3,3,0
250,F8,2,2,0
250,F9,2,2,0
260,F10,3,3,0
260,F11,1,1,0
260,F12,1,1,0
260,F13,1,1,0
260,F14,3,3,0
260,F15,1,1,0
260,F18,2,2,0
260,F19,3,3,0
260,F2,2,2,0
260,F20,62,62,0
260,F3,1,1,0
260,F4,2,2,0
260,F5,1,1,0
260,F7,1,1,0
260,F9,1,1,0
270,F10,3,3,0
270,F12,4,4,0
270,F13,2,2,0
270,F15,4,4,0
270,F16,3,3,0
270,F18,2,2,0
270,F19,2,2,0
270,F20,55,55,0
270,F5,1,1,0
270,F6,1,1,0
270,F7,2,2,0
270,F8,2,2,0
270,F9,3,3,0
280,F10,2,2,0
280,F11,3,3,0
280,F12,1,1,0
280,F13,1,1,0
280,F14,1,1,0
280,F15,5,5,0
280,F17,2,2,0
280,F18,6,6,0
280,F19,3,3,0
280,F20,53,53,0
280,F5,2,2,0
280,F6,6,6,0
280,F7,2,2,0
280,F8,2,2,0
290,F10,2,2,0
290,F11,4,4,0
290,F12,1,1,0
290,F14,2,2,0
290,F15,3,3,0
290,F16,2,2,0
290,F17,3,3,0
290,F18,2,2,0
290,F19,2,2,0
290,F20,43,43,0
290,F4,4,4,0
290,F5,1,1,0
290,F6,3,3,0
290,F7,3,3,0
290,F8,1,1,0
290,F9,1,1,0
300,F10,2,2,0
300,F11,3,3,0
300,F12,3,3,0
300,F13,3,3,0
300,F14,4,4,0
300,F15,1,1,0
300,F16,1,1,0
300,F17,2,2,0
300,F18,3,3,0
300,F19,1,1,0
300,F2,1,1,0
300,F20,52,52,0
300,F4,2,2,0
300,F6,6,6,0
300,F7,1,1,0
300,F8,2,2,0
300,F9,1,1,0
310,F10,1,1,0
310,F12,2,2,0
310,F14,4,4,0
310,F15,4,4,0
310,F16,3,3,0
310,F17,3,3,0
310,F18,4,4,0
310,F19,3,3,0
310,F20,43,43,0
310,F4,1,1,0
310,F6,1,1,0
310,F7,2,2,0
310,F8,2,2,0
310,F9,6,6,0
320,F10,2,2,0
320,F11,1,1,0
320,F12,3,3,0
320,F13,2,2,0
320,F14,4,4,0
320,F15,2,2,0
320,F16,2,2,0
320,F18,1,1,0
320,F19,1,1,0
320,F20,49,49,0
320,F4,1,1,0
320,F6,1,1,0
320,F7,5,5,0
320,F8,1,1,0
320,F9,2,2,0
330,F10,1,1,0
330,F11,2,2,0
330,F12,1,1,0
330,F13,2,2,0
330,F14,4,4,0
330,F15,2,2,0
330,F16,1,1,0
330,F17,2,2,0
330,F18,2,2,0
330,F19,3,3,0
330,F20,51,51,0
330,F5,2,2,0
330,F6,2,2,0
330,F7,2,2,0
330,F8,1,1,0
330,F9,1,1,0
340,F11,3,3,0
340,F12,2,2,0
340,F13,1,1,0
340,F15,2,2,0
340,F16,3,3,0
340,F17,2,2,0
340,F18,2,2,0
340,F19,3,3,0
340,F20,45,45,0
340,F4,1,1,0
340,F7,1,1,0
340,F8,3,3,0
340,F9,2,2,0
350,F10,2,2,0
350,F11,2,2,0
350,F12,1,1,0
350,F13,1,1,0
350,F14,5,5,0
350,F15,2,2,0
350,F16,2,2,0
350,F17,2,2,0
350,F18,2,2,0
350,F19,1,1,0
350,F20,41,41,0
350,F5,2,2,0
350,F6,2,2,0
350,F7,3,3,0
350,F8,2,2,0
350,F9,1,1,0
360,F10,4,4,0
360,F11,2,2,0
360,F12,1,1,0
360,F13,1,1,0
360,F14,3,3,0
360,F15,5,5,0
360,F16,3,3,0
360,F17,2,2,0
360,F18,2,2,0
360,F19,1,1,0
360,F20,48,48,0
360,F5,1,1,0
360,F6,2,2,0
360,F7,1,1,0
360,F8,1,1,0
360,F9,1,1,0
370,F10,1,1,0
370,F11,4,4,0
370,F12,3,3,0
370,F13,1,1,0
370,F14,5,5,0
370,F15,3,3,0
370,F16,1,1,0
370,F18,2,2,0
370,F19,5,5,0
370,F20,58,58,0
370,F5,3,3,0
370,F6,2,2,0
370,F8,1,1,0
370,F9,2,2,0
380,F10,3,3,0
380,F11,1,1,0
380,F13,4,4,0
380,F14,1,1,0
380,F15,2,2,0
380,F16,5,5,0
380,F17,1,1,0
380,F18,3,3,0
380,F19,7,7,0
380,F20,51,51,0
380,F7,1,1,0
380,F8,5,5,0
390,F10,5,5,0
390,F11,3,3,0
390,F12,3,3,0
390,F13,1,1,0
390,F14,4,4,0
390,F15,3,3,0
390,F16,1,1,0
390,F17,2,2,0
390,F18,3,3,0
390,F19,4,4,0
390,F20,51,51,0
390,F6,3,3,0
390,F7,2,2,0
390,F8,2,2,0
390,F9,1,1,0
400,F10,2,2,0
400,F11,2,2,0
400,F12,2,2,0
400,F14,3,3,0
400,F15,1,1,0
400,F17,2,2,0
400,F18,4,4,0
400,F19,5,5,0
400,F2,1,1,0
400,F20,55,55,0
400,F5,1,1,0
400,F6,1,1,0
400,F8,1,1,0
400,F9,2,2,0
410,F10,2,2,0
410,F11,1,1,0
410,F12,3,3,0
410,F13,5,5,0
410,F15,2,2,0
410,F16,4,4,0
410,F17,2,2,0
410,F18,4,4,0
410,F19,3,3,0
410,F20,53,53,0
410,F6,1,1,0
410,F7,1,1,0
420,F10,2,2,0
420,F11,1,1,0
420,F12,2,2,0
420,F14,4,4,0
420,F15,4,4,0
420,F16,4,4,0
420,F17,1,1,0
420,F19,3,3,0
420,F20,47,47,0
420,F6,1,1,0
420,F7,2,2,0
430,F10,1,1,0
430,F11,2,2,0
430,F12,1,1,0
430,F13,1,1,0
430,F14,1,1,0
430,F15,2,2,0
430,F17,1,1,0
430,F18,2,2,0
430,F19,4,4,0
430,F2,1,1,0
430,F20,42,42,0
430,F5,1,1,0
430,F6,3,3,0
430,F9,1,1,0
440,F12,5,5,0
440,F13,2,2,0
440,F14,2,2,0
440,F15,1,1,0
440,F16,1,1,0
440,F18,3,3,0
440,F19,1,1,0
440,F20,50,50,0
440,F6,1,1,0
440,F9,1,1,0
450,F1,1,1,0
450,F10,3,3,0
450,F11,2,2,0
450,F12,2,2,0
450,F14,4,4,0
450,F16,1,1,0
450,F17,2,2,0
450,F18,3,3,0
450,F19,4,4,0
450,F20,53,53,0
450,F6,2,2,0
450,F7,3,3,0
450,F8,1,1,0
450,F9,1,1,0
460,F10,2,2,0
460,F11,1,1,0
460,F12,2,2,0
460,F14,2,2,0
460,F15,4,4,0
460,F16,3,3,0
460,F17,4,4,0
460,F18,3,3,0
460,F19,5,5,0
460,F2,1,1,0
460,F20,45,45,0
460,F8,1,1,0
460,F9,3,3,0
470,F10,2,2,0
470,F11,3,3,0
470,F12,2,2,0
470,F13,1,1,0
470,F14,2,2,0
470,F15,5,5,0
470,F16,2,2,0
470,F17,2,2,0
470,F18,3,3,0
470,F19,3,3,0
470,F2,1,1,0
470,F20,52,52,0
470,F6,1,1,0
470,F8,2,2,0
470,F9,1,1,0
480,F10,2,2,0
480,F11,1,1,0
480,F12,2,2,0
480,F14,2,2,0
480,F15,2,2,0
480,F16,2,2,0
480,F18,3,3,0
480,F19,5,5,0
480,F20,45,45,0
480,F7,2,2,0
480,F8,1,1,0
480,F9,2,2,0
490,F10,4,4,0
490,F11,2,2,0
490,F13,4,4,0
490,F14,1,1,0
490,F15,3,3,0
490,F16,2,2,0
490,F18,5,5,0
490,F19,1,1,0
490,F20,50,50,0
490,F8,6,6,0
490,F9,2,2,0
500,F10,3,3,0
500,F11,2,2,0
500,F12,3,3,0
500,F13,2,2,0
500,F14,4,4,0
500,F15,2,2,0
500,F16,3,3,0
500,F18,2,2,0
500,F19,4,4,0
500,F20,51,51,0
500,F8,1,1,0
500,F9,5,5,0
510,F10,3,3,0
510,F11,5,5,0
510,F12,3,3,0
510,F13,5,5,0
510,F14,1,1,0
510,F15,2,2,0
510,F16,2,2,0
510,F18,4,4,0
510,F19,5,5,0
510,F2,1,1,0
510,F20,59,59,0
510,F9,2,2,0
520,F10,3,3,0
520,F11,3,3,0
520,F12,1,1,0
520,F13,4,4,0
520,F14,1,1,0
520,F15,2,2,0
520,F16,1,1,0
520,F17,3,3,0
520,F18,4,4,0
520,F19,5,5,0
520,F20,59,59,0
520,F9,2,2,0
530,F10,3,3,0
530,F11,5,5,0
530,F12,1,1,0
530,F13,4,4,0
530,F14,1,1,0
530,F15,1,1,0
530,F16,1,1,0
530,F17,2,2,0
530,F18,2,2,0
530,F19,2,2,0
530,F20,54,54,0
530,F9,1,1,0
540,F10,3,3,0
540,F11,4,4,0
540,F12,1,1,0
540,F13,2,2,0
540,F14,4,4,0
540,F15,2,2,0
540,F16,5,5,0
540,F17,3,3,0
540,F18,1,1,0
540,F19,2,2,0
540,F2,1,1,0
540,F20,60,60,0
540,F9,1,1,0
550,F10,1,1,0
550,F12,2,2,0
550,F13,4,4,0
550,F15,1,1,0
550,F17,1,1,0
550,F18,2,2,0
550,F19,2,2,0
550,F20,52,52,0
550,F9,2,2,0
560,F10,1,1,0
560,F11,1,1,0
560,F14,2,2,0
560,F15,1,1,0
560,F16,1,1,0
560,F17,1,1,0
560,F18,1,1,0
560,F20,43,43,0
560,F9,2,2,0
570,F10,3,3,0
570,F11,3,3,0
570,F12,1,1,0
570,F13,3,3,0
570,F14,1,1,0
570,F15,2,2,0
570,F16,2,2,0
570,F17,1,1,0
570,F18,1,1,0
570,F19,3,3,0
570,F20,46,46,0
570,F9,2,2,0
580,F10,2,2,0
580,F11,3,3,0
580,F12,1,1,0
580,F13,1,1,0
580,F14,2,2,0
580,F15,1,1,0
580,F16,3,3,0
580,F18,6,6,0
580,F19,2,2,0
580,F20,56,56,0
580,F9,2,2,0
590,F10,1,1,0
590,F11,3,3,0
590,F12,3,3,0
590,F13,2,2,0
590,F14,1,1,0
590,F15,2,2,0
590,F16,4,4,0
590,F18,1,1,0
590,F19,3,3,0
590,F20,61,61,0
600,F10,5,5,0
600,F11,4,4,0
600,F12,2,2,0
600,F13,1,1,0
600,F14,4,4,0
600,F15,1,1,0
600,F16,4,4,0
600,F17,3,3,0
600,F18,2,2,0
600,F19,1,1,0
600,F20,62,62,0
610,F11,2,2,0
610,F12,5,5,0
610,F13,3,3,0
610,F14,5,5,0
610,F15,1,1,0
610,F16,2,2,0
610,F18,1,1,0
610,F19,3,3,0
610,F20,55,55,0
620,F11,2,2,0
620,F12,2,2,0
620,F13,1,1,0
620,F14,2,2,0
620,F15,3,3,0
620,F16,3,3,0
620,F18,1,1,0
620,F19,4,4,0
620,F20,60,60,0
630,F11,5,5,0
630,F12,5,5,0
630,F13,2,2,0
630,F14,2,2,0
630,F15,1,1,0
630,F16,1,1,0
630,F17,2,2,0
630,F18,4,4,0
630,F19,1,1,0
630,F20,51,51,0
640,F11,2,2,0
640,F13,3,3,0
640,F14,4,4,0
640,F15,5,5,0
640,F16,4,4,0
640,F18,3,3,0
640,F19,3,3,0
640,F2,1,1,0
640,F20,58,58,0
650,F11,4,4,0
650,F12,2,2,0
650,F13,4,4,0
650,F15,2,2,0
650,F16,3,3,0
650,F17,4,4,0
650,F18,3,3,0
650,F19,2,2,0
650,F2,1,1,0
650,F20,63,63,0
660,F11,6,6,0
660,F12,3,3,0
660,F13,2,2,0
660,F14,3,3,0
660,F15,2,2,0
660,F16,1,1,0
660,F17,4,4,0
660,F20,58,58,0
670,F11,4,4,0
670,F12,4,4,0
670,F14,1,1,0
670,F16,3,3,0
670,F17,2,2,0
670,F19,5,5,0
670,F20,58,58,0
680,F12,3,3,0
680,F14,8,8,0
680,F15,1,1,0
680,F18,1,1,0
680,F19,3,3,0
680,F2,1,1,0
680,F20,61,61,0
690,F11,2,2,0
690,F12,2,2,0
690,F13,1,1,0
690,F14,1,1,0
690,F15,4,4,0
690,F16,3,3,0
690,F18,2,2,0
690,F19,1,1,0
690,F20,52,52,0
700,F11,3,3,0
700,F12,4,4,0
700,F13,2,2,0
700,F14,5,5,0
700,F15,6,6,0
700,F16,2,2,0
700,F17,3,3,0
700,F18,2,2,0
700,F19,3,3,0
700,F20,53,53,0
710,F12,1,1,0
710,F13,2,2,0
710,F14,5,5,0
710,F15,3,3,0
710,F16,1,1,0
710,F17,5,5,0
710,F18,4,4,0
710,F19,4,4,0
710,F20,62,62,0
720,F12,1,1,0
720,F13,3,3,0
720,F14,2,2,0
720,F15,4,4,0
720,F16,2,2,0
720,F18,3,3,0
720,F19,4,4,0
720,F20,51,51,0
730,F12,5,5,0
730,F13,5,5,0
730,F15,3,3,0
730,F16,1,1,0
730,F17,3,3,0
730,F18,2,2,0
730,F19,4,4,0
730,F20,53,53,0
740,F12,6,6,0
740,F13,2,2,0
740,F14,6,6,0
740,F15,4,4,0
740,F16,3,3,0
740,F17,2,2,0
740,F18,3,3,0
740,F19,2,2,0
740,F20,49,49,0
750,F12,4,4,0
750,F13,4,4,0
750,F14,5,5,0
750,F15,1,1,0
750,F16,3,3,0
750,F17,2,2,0
750,F18,4,4,0
750,F19,2,2,0
750,F20,56,56,0
760,F1,1,1,0
760,F12,4,4,0
760,F15,2,2,0
760,F16,2,2,0
760,F17,2,2,0
760,F18,2,2,0
760,F19,3,3,0
760,F20,60,60,0
770,F12,6,6,0
770,F13,3,3,0
770,F14,4,4,0
770,F15,1,1,0
770,F16,5,5,0
770,F17,3,3,0
770,F18,3,3,0
770,F19,3,3,0
770,F20,48,48,0
780,F13,2,2,0
780,F14,5,5,0
780,F15,3,3,0
780,F16,4,4,0
780,F17,1,1,0
780,F18,4,4,0
780,F19,5,5,0
780,F20,77,77,0
790,F13,3,3,0
790,F15,4,4,0
790,F16,4,4,0
790,F17,8,8,0
790,F18,2,2,0
790,F19,4,4,0
790,F20,58,58,0
800,F13,1,1,0
800,F15,2,2,0
800,F16,2,2,0
800,F17,5,5,0
800,F18,2,2,0
800,F19,1,1,0
800,F2,1,1,0
800,F20,67,67,0
810,F13,1,1,0
810,F14,1,1,0
810,F15,2,2,0
810,F17,1,1,0
810,F18,2,2,0
810,F19,2,2,0
810,F2,1,1,0
810,F20,61,61,0
820,F13,6,6,0
820,F14,2,2,0
820,F15,1,1,0
820,F16,1,1,0
820,F18,4,4,0
820,F19,3,3,0
820,F20,49,49,0
830,F14,2,2,0
830,F18,2,2,0
830,F19,5,5,0
830,F20,58,58,0
840,F14,1,1,0
840,F15,3,3,0
840,F16,2,2,0
840,F17,2,2,0
840,F19,3,3,0
840,F20,56,56,0
850,F14,6,6,0
850,F15,7,7,0
850,F16,1,1,0
850,F17,4,4,0
850,F18,5,5,0
850,F19,2,2,0
850,F20,56,56,0
860,F14,3,3,0
860,F15,1,1,0
860,F16,1,1,0
860,F17,5,5,0
860,F19,6,6,0
860,F20,55,55,0
870,F14,2,2,0
870,F15,5,5,0
870,F16,3,3,0
870,F17,2,2,0
870,F18,8,8,0
870,F19,4,4,0
870,F20,64,64,0
880,F14,4,4,0
880,F16,3,3,0
880,F17,3,3,0
880,F18,1,1,0
880,F19,1,1,0
880,F20,57,57,0
890,F14,2,2,0
890,F15,5,5,0
890,F16,5,5,0
890,F17,1,1,0
890,F18,1,1,0
890,F19,2,2,0
890,F20,76,76,0
900,F14,5,5,0
900,F15,3,3,0
900,F16,2,2,0
900,F18,5,5,0
900,F19,5,5,0
900,F20,59,59,0
910,F16,2,2,0
910,F17,1,1,0
910,F18,2,2,0
910,F19,2,2,0
910,F20,58,58,0
920,F15,5,5,0
920,F16,5,5,0
920,F17,3,3,0
920,F18,5,5,0
920,F19,4,4,0
920,F20,78,78,0
930,F15,4,4,0
930,F16,3,3,0
930,F17,1,1,0
930,F18,1,1,0
930,F19,1,1,0
930,F2,1,1,0
930,F20,73,73,0
940,F15,1,1,0
940,F16,1,1,0
940,F17,5,5,0
940,F18,1,1,0
940,F19,3,3,0
940,F20,60,60,0
950,F15,4,4,0
950,F16,4,4,0
950,F17,2,2,0
950,F18,4,4,0
950,F19,5,5,0
950,F2,1,1,0
950,F20,64,64,0
960,F15,4,4,0
960,F16,2,2,0
960,F17,2,2,0
960,F18,4,4,0
960,F20,69,69,0
970,F15,2,2,0
970,F16,1,1,0
970,F17,3,3,0
970,F18,5,5,0
970,F20,74,74,0
980,F15,4,4,0
980,F16,6,6,0
980,F17,2,2,0
980,F18,3,3,0
980,F19,1,1,0
980,F20,70,70,0
990,F15,4,4,0
990,F16,2,2,0
990,F17,4,4,0
990,F18,5,5,0
990,F19,4,4,0
990,F20,72,72,0
1000,F16,2,2,0
1000,F17,5,5,0
1000,F18,2,2,0
1000,F19,2,2,0
1000,F20,70,70,0
1010,F16,2,2,0
1010,F17,3,3,0
1010,F18,1,1,0
1010,F19,6,6,0
1010,F20,70,70,0
1020,F1,1,1,0
1020,F16,4,4,0
1020,F17,2,2,0
1020,F18,2,2,0
1020,F19,5,5,0
1020,F20,79,79,0
1030,F17,5,5,0
1030,F18,2,2,0
1030,F19,3,3,0
1030,F20,69,69,0
1040,F17,1,1,0
1040,F18,3,3,0
1040,F19,4,4,0
1040,F20,60,60,0
1050,F1,1,1,0
1050,F17,4,4,0
1050,F18,3,3,0
1050,F19,6,6,0
1050,F20,78,78,0
1060,F17,3,3,0
1060,F18,2,2,0
1060,F19,2,2,0
1060,F20,67,67,0
1070,F17,2,2,0
1070,F18,2,2,0
1070,F19,3,3,0
1070,F20,62,62,0
1080,F17,4,4,0
1080,F18,2,2,0
1080,F19,7,7,0
1080,F2,1,1,0
1080,F20,64,64,0
1090,F17,3,3,0
1090,F18,5,5,0
1090,F19,6,6,0
1090,F20,67,67,0
